Timestamp,Emotion
2024-12-17 22:38:25,Neutral
2024-12-17 22:38:26,Neutral
2024-12-17 22:38:26,Neutral
2024-12-17 22:38:26,Neutral
2024-12-17 22:38:27,Neutral
2024-12-17 22:38:27,Happy
2024-12-17 22:38:27,Happy
2024-12-17 22:38:28,Happy
2024-12-17 22:38:28,Happy
2024-12-17 22:38:28,Happy
2024-12-17 22:38:29,Happy
2024-12-17 22:38:29,Happy
2024-12-17 22:38:29,Sad
2024-12-17 22:38:30,Happy
2024-12-17 22:38:30,Happy
2024-12-17 22:38:30,Happy
2024-12-17 22:38:31,Angry
2024-12-17 22:38:31,Neutral
2024-12-17 22:38:32,Neutral
2024-12-17 22:38:32,Neutral
2024-12-17 22:38:32,Sad
2024-12-17 22:38:33,Neutral
2024-12-17 22:38:33,Neutral
2024-12-17 22:38:33,Happy
2024-12-17 22:38:34,Happy
2024-12-17 22:38:34,Happy
2024-12-17 22:38:35,Happy
2024-12-17 22:38:35,Sad
2024-12-17 22:38:35,Happy
2024-12-17 22:38:36,Sad
2024-12-17 22:38:36,Happy
2024-12-17 22:38:36,Sad
2024-12-17 22:38:36,Happy
2024-12-17 22:38:37,Sad
2024-12-17 22:38:37,Happy
2024-12-17 22:38:37,Sad
2024-12-17 22:38:37,Happy
2024-12-17 22:38:38,Sad
2024-12-17 22:38:38,Neutral
2024-12-17 22:38:38,Neutral
2024-12-17 22:38:39,Neutral
2024-12-17 22:38:39,Neutral
2024-12-17 22:38:40,Neutral
2024-12-17 22:38:40,Neutral
2024-12-17 22:38:40,Neutral
2024-12-17 22:38:41,Neutral
2024-12-17 22:38:41,Neutral
2024-12-17 22:38:41,Neutral
2024-12-17 22:38:42,Neutral
2024-12-17 22:38:42,Neutral
2024-12-17 22:38:42,Neutral
2024-12-17 22:38:43,Neutral
2024-12-17 22:38:43,Sad
2024-12-17 22:38:43,Happy
2024-12-17 22:38:44,Happy
2024-12-17 22:38:44,Happy
2024-12-17 22:38:44,Happy
2024-12-17 22:38:45,Sad
2024-12-17 22:38:45,Sad
2024-12-17 22:38:45,Happy
2024-12-17 22:38:45,Fear
2024-12-17 22:38:46,Happy
2024-12-17 22:38:46,Neutral
2024-12-17 22:38:47,Fear
2024-12-17 22:38:47,Neutral
2024-12-17 22:38:48,Neutral
2024-12-17 22:38:49,Happy
2024-12-17 22:38:50,Fear
2024-12-17 22:38:50,Fear
2024-12-17 22:38:50,Surprise
2024-12-17 22:38:51,Fear
2024-12-17 22:38:51,Neutral
2024-12-17 22:38:51,Happy
2024-12-17 22:38:52,Neutral
2024-12-17 22:38:52,Happy
2024-12-17 22:38:52,Neutral
2024-12-17 22:38:53,Neutral
2024-12-17 22:38:53,Surprise
2024-12-17 22:38:53,Fear
2024-12-17 22:38:54,Sad
2024-12-17 22:38:54,Surprise
2024-12-17 22:38:54,Happy
2024-12-17 22:38:55,Sad
2024-12-17 22:38:55,Happy
2024-12-17 22:38:55,Happy
2024-12-17 22:38:56,Sad
2024-12-17 22:38:56,Happy
2024-12-17 22:38:56,Happy
2024-12-17 22:38:56,Sad
2024-12-17 22:38:57,Sad
2024-12-17 22:38:57,Happy
2024-12-17 22:38:57,Happy
2024-12-17 22:38:58,Sad
2024-12-17 22:38:58,Sad
2024-12-17 22:38:58,Happy
2024-12-17 22:38:59,Happy
2024-12-17 22:38:59,Sad
2024-12-17 22:38:59,Happy
2024-12-17 22:38:59,Sad
2024-12-17 22:39:00,Happy
2024-12-17 22:39:00,Sad
2024-12-17 22:39:00,Happy
2024-12-17 22:39:01,Sad
2024-12-17 22:39:01,Happy
2024-12-17 22:39:01,Happy
2024-12-17 22:39:02,Happy
2024-12-17 22:39:02,Happy
2024-12-17 22:39:02,Happy
2024-12-17 22:39:03,Happy
2024-12-17 22:39:03,Happy
